country,hours_change,productivity_change
Argentina,-253.06719999999996,10.424893
Australia,-120.68249999999989,18.871629999999996
Austria,-187.058,25.762653
Bangladesh,-141.9443000000001,4.397108
Belgium,-2.6716999999998734,17.664052999999996
Brazil,-130.13199999999983,6.663169000000002
Bulgaria,4.9927000000000135,12.355888
Cambodia,178.02100000000019,3.5661758999999993
Canada,-96.90550000000007,8.317077999999995
Chile,-348.5999999999999,15.833666000000001
China,78.44369999999981,10.6742588
Colombia,12.367299999999886,5.599501
Costa Rica,-298.33910000000014,12.804844999999998
Croatia,-90.76510000000007,15.281636000000002
Cyprus,-121.15179999999987,6.520162999999997
Czechia,-108.0186000000001,20.994268
Denmark,-85.32960000000003,27.412966999999995
Dominican Republic,-64.46500000000015,9.251684000000001
Ecuador,-248.58349999999996,9.377886
Estonia,-180.65840000000003,27.987412999999997
Finland,-114.01890000000003,14.488262000000006
France,-53.42630000000008,20.640480000000004
Germany,-79.74090000000001,23.034701999999996
Greece,-71.17489999999975,1.078127000000002
Hong Kong,-183.09249999999975,8.148945000000005
Hungary,-207.17419999999993,15.202084
Iceland,-240.89010000000007,21.471383000000003
India,36.31230000000005,4.971086
Indonesia,40.807599999999866,8.326668699999999
Ireland,-160.7458999999999,90.83837999999999
Israel,-133.8672999999999,-1.3602279999999993
Italy,-132.3641,11.096487000000003
Jamaica,2.1171999999999116,-0.8582289999999997
Japan,-167.4148,3.7874070000000017
Latvia,-110.81910000000016,21.392349
Lithuania,39.857099999999946,24.096807000000002
Luxembourg,-96.65689999999995,9.192310000000006
Malaysia,-50.23349999999982,10.972012
Malta,-335.7648999999999,7.409804999999999
Mexico,-37.0,2.845137000000001
Myanmar,2.282600000000002,5.4663749
Netherlands,-24.329799999999977,15.912230000000008
New Zealand,-57.377899999999954,9.774696000000006
Norway,-72.39239999999995,33.02501000000001
Pakistan,-219.52959999999985,2.629481
Peru,38.36720000000014,5.978966
Philippines,7.842800000000352,5.053745000000001
Poland,-59.0650999999998,21.287340000000004
Portugal,-55.972999999999956,11.950813000000004
Romania,-61.26350000000002,29.3109405
Russia,-17.0,22.605527000000002
Singapore,-244.11249999999973,27.955906
Slovakia,-120.66589999999997,10.165980999999995
Slovenia,-117.13879999999995,15.389893
South Africa,-184.97479999999996,4.5878250000000005
South Korea,-529.7917,24.333134000000005
Spain,-66.86930000000007,17.868900000000004
Sri Lanka,-78.22640000000001,12.1451
Sweden,-38.16190000000006,17.186759999999992
Switzerland,-155.86019999999985,38.628302999999995
Taiwan,-95.36050000000023,10.00188
Thailand,-409.6697000000004,11.000751000000001
Trinidad and Tobago,-29.095000000000027,-1.0373540000000006
Turkey,-105.0,24.698962999999996
United Kingdom,-25.006200000000035,4.157964999999997
United States,-79.50760000000014,18.592115000000007
Uruguay,-171.56310000000008,18.179232999999996
Venezuela,5.339899999999943,5.886795000000001
Vietnam,-261.6884,7.4159227
