country,average_working_hours,average_productivity
Argentina,1732.5497199999998,27.176167399999997
Australia,1772.472925,63.1477443
Austria,1690.7554800000003,66.49344605
Bangladesh,2504.2501700000003,3.82236682
Belgium,1583.72454,72.23650054999999
Brazil,1765.9575499999999,16.167946649999998
Bulgaria,1649.882075,24.4204707
Cambodia,2402.830515,2.905259435
Canada,1728.5472399999999,58.31862595
Chile,2087.9,24.7794324
China,2157.69607,8.05056046
Colombia,2011.0505550000003,12.471462075
Costa Rica,2274.533775,17.03567
Croatia,1900.1987249999997,32.2873878
Cyprus,1855.789185,43.49537955
Czechia,1796.84204,38.6345501
Denmark,1430.461735,70.9534376
Dominican Republic,2142.612615,15.705939050000001
Ecuador,1706.4635999999998,13.8053661
Estonia,1913.46153,32.86744005
Finland,1640.81022,62.6833232
France,1525.755225,68.1363324
Germany,1423.5806,70.37235654999999
Greece,2070.80817,36.39504205
Hong Kong,2260.13085,51.832534550000005
Hungary,1793.0945500000003,34.4587338
Iceland,1558.87415,57.729532600000006
India,2106.48237,4.954727605
Indonesia,2031.2692900000002,9.100906474999999
Ireland,1818.33587,87.04296120000001
Israel,1949.9464899999998,42.72243415
Italy,1774.1498050000002,58.201939849999995
Jamaica,1966.5508,9.112116
Japan,1790.1492600000001,49.1388332
Latvia,1924.740495,29.0009134
Lithuania,1875.758985,32.78524415
Luxembourg,1538.439885,74.6431016
Malaysia,2230.16584,22.45422165
Malta,2073.111825,37.0610995
Mexico,2122.9,28.87063945
Myanmar,2444.6571350000004,3.314351995
Netherlands,1431.9361800000001,75.19621025000001
New Zealand,1779.5917699999998,44.67417325
Norway,1399.42507,116.7785188
Pakistan,2099.04351,7.30940582
Peru,2121.464065,9.878146220000001
Philippines,2121.70637,8.355352544999999
Poland,2056.745855,33.78445215
Portugal,1884.87575,36.5006284
Romania,1828.02633,23.975118025
Russia,1982.75,22.972450000000002
Singapore,2451.00261,49.54681925
Slovakia,1762.19948,36.55974105
Slovenia,1672.1473150000002,41.32664115
South Africa,2273.59045,21.131509555555553
South Korea,2216.8598,37.1285998
Spain,1714.89845,53.084034900000006
Sri Lanka,1897.689775,12.73812436
Sweden,1618.3057000000001,70.8556916
Switzerland,1630.853435,73.91939085
Taiwan,2104.1490263157893,48.82189573684211
Thailand,2298.8343099999997,11.7040535
Trinidad and Tobago,1655.5801666666666,24.73232333333333
Turkey,1883.75,36.00481595
United Kingdom,1665.7817149999998,63.970618349999995
United States,1774.415985,70.0964525
Uruguay,1597.24565,26.6209785
Venezuela,1874.516,14.748521
Vietnam,2243.230805,5.408216245
